sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
3352105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,No,Yes
3403239,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,No,Yes
3286560,0.0,2.0,0.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.7,0.73,0.0,No,No,No,Yes,No,Yes
3299078,7.0,8.0,0.0,11.0,27.0,47.0,2.0,2.0,2.0,2.0,0.0,No,0.0,0.7,0.73,0.0,No,No,No,Yes,No,Yes
3314098,0.0,8.0,0.0,9.0,14.0,16.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.95,0.94,0.0,No,No,No,Yes,No,Yes
3316047,0.0,4.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.57,0.68,0.0,Yes,No,No,Yes,No,Yes
3317147,0.0,8.0,0.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,1.0,No,0.0,0.56,0.68,0.0,No,No,No,Yes,No,Yes
3319588,0.0,8.0,0.0,22.0,44.0,60.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.83,0.91,0.0,No,No,No,Yes,No,Yes
3323488,0.0,2.0,0.0,16.0,16.0,16.0,9.0,21.0,34.0,36.0,0.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,Yes
3325147,3.0,8.0,0.0,25.0,39.0,53.0,11.0,22.0,36.0,51.0,0.0,No,0.0,0.51,0.57,0.0,No,No,No,Yes,No,Yes
3325815,0.0,0.0,0.0,6.0,9.0,12.0,1.0,3.0,7.0,8.0,2.0,No,0.0,0.0,0.0,0.0,No,No,No,No,No,Yes
3327384,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.37,0.34,0.0,No,No,No,Yes,No,Yes
3330191,0.0,8.0,0.0,6.0,8.0,10.0,1.0,3.0,6.0,8.0,1.0,No,0.0,0.99,0.98,0.0,No,No,Yes,Yes,No,Yes
3337956,2.0,6.0,0.0,0.0,1.0,1.0,5.0,7.0,14.0,17.0,0.0,No,0.0,0.79,0.66,0.0,No,No,No,Yes,No,Yes
