2021-02-15/19:30:53		 Starting  validation of files!!
2021-02-15/19:30:54		raw validation ended!!
2021-02-15/19:30:54		Starting data transformation!!
2021-02-15/19:30:54		 data tranformation ended!!
2021-02-15/19:30:54		starting Data base operation!!
2021-02-15/19:31:12		Database operations ended!!
2021-02-15/19:31:12		Extracting csv file from table
2021-02-15/19:31:13		Extracted csv file from table successfully
2021-02-15/19:31:13		Deleting good training raw folder
2021-02-15/19:31:13		good training raw folder deleted successfully
2021-02-15/19:31:13		Archiving bad raw data files & deleting the bad_raw folder
2021-02-15/19:31:13		Archived bad raw data files & deleted the bad_raw folder successfully
2021-02-15/19:31:13		 End of validation of Training files.Successful!!
